Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Mar 15 2017,10:30 pm,Milwaukee Bucks,97,Los Angeles Clippers,96,Box Score,,19060,
Wed Mar 15 2017,7:30 pm,New Orleans Pelicans,112,Miami Heat,120,Box Score,,19678,
Wed Mar 15 2017,10:00 pm,Sacramento Kings,107,Phoenix Suns,101,Box Score,,17196,
Wed Mar 15 2017,8:00 pm,Portland Trail Blazers,110,San Antonio Spurs,106,Box Score,,18418,
Wed Mar 15 2017,7:00 pm,Dallas Mavericks,112,Washington Wizards,107,Box Score,,17844,
Thu Mar 16 2017,7:30 pm,Memphis Grizzlies,103,Atlanta Hawks,91,Box Score,,17063,
Thu Mar 16 2017,7:00 pm,Utah Jazz,83,Cleveland Cavaliers,91,Box Score,,20562,
Thu Mar 16 2017,9:00 pm,Los Angeles Clippers,114,Denver Nuggets,129,Box Score,,14179,
Thu Mar 16 2017,10:30 pm,Orlando Magic,92,Golden State Warriors,122,Box Score,,19596,
Thu Mar 16 2017,7:30 pm,Brooklyn Nets,121,New York Knicks,110,Box Score,,19812,
Thu Mar 16 2017,7:00 pm,Oklahoma City Thunder,123,Toronto Raptors,102,Box Score,,19800,
Fri Mar 17 2017,7:30 pm,Boston Celtics,98,Brooklyn Nets,95,Box Score,,17732,
Fri Mar 17 2017,7:30 pm,Toronto Raptors,87,Detroit Pistons,75,Box Score,,16541,
Fri Mar 17 2017,10:30 pm,Milwaukee Bucks,107,Los Angeles Lakers,103,Box Score,,18997,
Fri Mar 17 2017,8:00 pm,Minnesota Timberwolves,105,Miami Heat,123,Box Score,,19600,
Fri Mar 17 2017,8:00 pm,Houston Rockets,112,New Orleans Pelicans,128,Box Score,,17972,
Fri Mar 17 2017,7:00 pm,Dallas Mavericks,74,Philadelphia 76ers,116,Box Score,,17642,
Fri Mar 17 2017,10:00 pm,Orlando Magic,109,Phoenix Suns,103,Box Score,,16880,
Fri Mar 17 2017,7:00 pm,Chicago Bulls,107,Washington Wizards,112,Box Score,,20356,
Sat Mar 18 2017,6:00 pm,Portland Trail Blazers,113,Atlanta Hawks,97,Box Score,,16543,
Sat Mar 18 2017,9:00 pm,Utah Jazz,86,Chicago Bulls,95,Box Score,,21953,
Sat Mar 18 2017,7:00 pm,Washington Wizards,93,Charlotte Hornets,98,Box Score,,19361,
Sat Mar 18 2017,9:30 pm,Houston Rockets,109,Denver Nuggets,105,Box Score,,17512,
Sat Mar 18 2017,10:30 pm,Milwaukee Bucks,92,Golden State Warriors,117,Box Score,,19596,
Sat Mar 18 2017,8:30 pm,Cleveland Cavaliers,78,Los Angeles Clippers,108,Box Score,,19379,
Sat Mar 18 2017,9:00 pm,San Antonio Spurs,96,Memphis Grizzlies,104,Box Score,,18119,
Sat Mar 18 2017,3:00 pm,Sacramento Kings,94,Oklahoma City Thunder,110,Box Score,,18203,
Sun Mar 19 2017,12:00 pm,Dallas Mavericks,111,Brooklyn Nets,104,Box Score,,14045,
Sun Mar 19 2017,4:30 pm,Phoenix Suns,95,Detroit Pistons,112,Box Score,,19588,
Sun Mar 19 2017,9:30 pm,Cleveland Cavaliers,125,Los Angeles Lakers,120,Box Score,,18997,
Sun Mar 19 2017,6:00 pm,Portland Trail Blazers,115,Miami Heat,104,Box Score,,19600,
Sun Mar 19 2017,6:00 pm,Minnesota Timberwolves,109,New Orleans Pelicans,123,Box Score,,16111,
Sun Mar 19 2017,1:00 pm,Boston Celtics,99,Philadelphia 76ers,105,Box Score,,19446,
Sun Mar 19 2017,7:00 pm,Sacramento Kings,102,San Antonio Spurs,118,Box Score,,18418,
Sun Mar 19 2017,6:00 pm,Indiana Pacers,91,Toronto Raptors,116,Box Score,,19800,
Mon Mar 20 2017,7:30 pm,Washington Wizards,102,Boston Celtics,110,Box Score,,18624,
Mon Mar 20 2017,7:00 pm,Atlanta Hawks,90,Charlotte Hornets,105,Box Score,,14278,
Mon Mar 20 2017,8:00 pm,Denver Nuggets,124,Houston Rockets,125,Box Score,,16080,
Mon Mar 20 2017,7:00 pm,Utah Jazz,100,Indiana Pacers,107,Box Score,,15458,
Mon Mar 20 2017,10:30 pm,New York Knicks,105,Los Angeles Clippers,114,Box Score,,19060,
Mon Mar 20 2017,8:00 pm,Golden State Warriors,111,Oklahoma City Thunder,95,Box Score,,18203,
Mon Mar 20 2017,7:00 pm,Philadelphia 76ers,109,Orlando Magic,112,Box Score,OT,16236,
Tue Mar 21 2017,7:30 pm,Detroit Pistons,96,Brooklyn Nets,98,Box Score,,14343,
Tue Mar 21 2017,8:30 pm,Golden State Warriors,112,Dallas Mavericks,87,Box Score,,20453,
Tue Mar 21 2017,10:30 pm,Los Angeles Clippers,133,Los Angeles Lakers,109,Box Score,,18724,
Tue Mar 21 2017,7:30 pm,Phoenix Suns,97,Miami Heat,112,Box Score,,19600,
Tue Mar 21 2017,9:30 pm,San Antonio Spurs,100,Minnesota Timberwolves,93,Box Score,,13742,
Tue Mar 21 2017,8:00 pm,Memphis Grizzlies,82,New Orleans Pelicans,95,Box Score,,15973,
Tue Mar 21 2017,10:00 pm,Milwaukee Bucks,93,Portland Trail Blazers,90,Box Score,,19525,
Tue Mar 21 2017,7:00 pm,Chicago Bulls,120,Toronto Raptors,122,Box Score,OT,19800,
Wed Mar 22 2017,7:30 pm,Indiana Pacers,100,Boston Celtics,109,Box Score,,18624,
Wed Mar 22 2017,8:00 pm,Detroit Pistons,95,Chicago Bulls,117,Box Score,,21503,
Wed Mar 22 2017,9:00 pm,Cleveland Cavaliers,113,Denver Nuggets,126,Box Score,,19718,
Wed Mar 22 2017,8:00 pm,Philadelphia 76ers,97,Oklahoma City Thunder,122,Box Score,,18203,
Wed Mar 22 2017,7:00 pm,Charlotte Hornets,109,Orlando Magic,102,Box Score,,16034,
Wed Mar 22 2017,10:30 pm,Milwaukee Bucks,116,Sacramento Kings,98,Box Score,,17608,
Wed Mar 22 2017,10:30 pm,New York Knicks,101,Utah Jazz,108,Box Score,,19911,
Wed Mar 22 2017,8:00 pm,Atlanta Hawks,100,Washington Wizards,104,Box Score,,18137,
Thu Mar 23 2017,7:30 pm,Phoenix Suns,98,Brooklyn Nets,126,Box Score,,15141,
Thu Mar 23 2017,8:30 pm,Los Angeles Clippers,95,Dallas Mavericks,97,Box Score,,19703,
Thu Mar 23 2017,7:30 pm,Toronto Raptors,101,Miami Heat,84,Box Score,,19745,
Thu Mar 23 2017,10:00 pm,New York Knicks,95,Portland Trail Blazers,110,Box Score,,19020,
Thu Mar 23 2017,8:30 pm,Memphis Grizzlies,90,San Antonio Spurs,97,Box Score,,18418,
Fri Mar 24 2017,7:30 pm,Phoenix Suns,120,Boston Celtics,130,Box Score,,18624,
Fri Mar 24 2017,8:00 pm,Philadelphia 76ers,117,Chicago Bulls,107,Box Score,,21558,
Fri Mar 24 2017,7:00 pm,Cleveland Cavaliers,112,Charlotte Hornets,105,Box Score,,19511,
Fri Mar 24 2017,10:30 pm,Sacramento Kings,100,Golden State Warriors,114,Box Score,,19596,
Fri Mar 24 2017,8:00 pm,New Orleans Pelicans,107,Houston Rockets,117,Box Score,,18055,
