Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Jan 30 2018,10:30 pm,Portland Trail Blazers,104,Los Angeles Clippers,96,Box Score,,16705,
Tue Jan 30 2018,8:00 pm,Sacramento Kings,114,New Orleans Pelicans,103,Box Score,,14292,
Tue Jan 30 2018,7:30 pm,Brooklyn Nets,95,New York Knicks,111,Box Score,,19505,
Tue Jan 30 2018,8:30 pm,Denver Nuggets,104,San Antonio Spurs,106,Box Score,,18418,
Tue Jan 30 2018,7:30 pm,Minnesota Timberwolves,104,Toronto Raptors,109,Box Score,,19800,
Tue Jan 30 2018,9:00 pm,Golden State Warriors,99,Utah Jazz,129,Box Score,,18306,
Tue Jan 30 2018,7:00 pm,Oklahoma City Thunder,96,Washington Wizards,102,Box Score,,20356,
Wed Jan 31 2018,7:30 pm,Charlotte Hornets,123,Atlanta Hawks,110,Box Score,,13103,
Wed Jan 31 2018,8:00 pm,New York Knicks,73,Boston Celtics,103,Box Score,,18624,
Wed Jan 31 2018,7:30 pm,Philadelphia 76ers,108,Brooklyn Nets,116,Box Score,,15577,
Wed Jan 31 2018,7:30 pm,Miami Heat,89,Cleveland Cavaliers,91,Box Score,,20562,
Wed Jan 31 2018,7:00 pm,Memphis Grizzlies,101,Indiana Pacers,105,Box Score,,15093,
Wed Jan 31 2018,7:00 pm,Los Angeles Lakers,105,Orlando Magic,127,Box Score,,18553,
Wed Jan 31 2018,10:30 pm,Dallas Mavericks,88,Phoenix Suns,102,Box Score,,15923,
Wed Jan 31 2018,10:00 pm,Chicago Bulls,108,Portland Trail Blazers,124,Box Score,,19422,
