,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,OT,Attend.,game_type,game_name
700,2016-11-05,6:00 pm,Minnesota Timberwolves,92,Oklahoma City Thunder,112,0,18203,regular_season,Minnesota Timberwolves at Oklahoma City Thunder
701,2016-11-05,7:00 pm,Washington Wizards,86,Orlando Magic,88,0,18846,regular_season,Washington Wizards at Orlando Magic
702,2016-11-05,7:00 pm,Cleveland Cavaliers,102,Philadelphia 76ers,101,0,20497,regular_season,Cleveland Cavaliers at Philadelphia 76ers
703,2016-11-05,8:30 pm,Los Angeles Clippers,116,San Antonio Spurs,92,0,18418,regular_season,Los Angeles Clippers at San Antonio Spurs
709,2016-11-06,6:00 pm,Sacramento Kings,96,Toronto Raptors,91,0,19800,regular_season,Sacramento Kings at Toronto Raptors
708,2016-11-06,12:00 pm,Utah Jazz,114,New York Knicks,109,0,19812,regular_season,Utah Jazz at New York Knicks
706,2016-11-06,9:30 pm,Phoenix Suns,108,Los Angeles Lakers,119,0,18997,regular_season,Phoenix Suns at Los Angeles Lakers
705,2016-11-06,7:00 pm,Milwaukee Bucks,75,Dallas Mavericks,86,1,19345,regular_season,Milwaukee Bucks at Dallas Mavericks
704,2016-11-06,7:30 pm,Denver Nuggets,123,Boston Celtics,107,0,17452,regular_season,Denver Nuggets at Boston Celtics
707,2016-11-06,3:30 pm,Portland Trail Blazers,100,Memphis Grizzlies,94,0,16233,regular_season,Portland Trail Blazers at Memphis Grizzlies
710,2016-11-07,8:00 pm,Orlando Magic,80,Chicago Bulls,112,0,21320,regular_season,Orlando Magic at Chicago Bulls
711,2016-11-07,7:00 pm,Indiana Pacers,100,Charlotte Hornets,122,0,16880,regular_season,Indiana Pacers at Charlotte Hornets
712,2016-11-07,10:30 pm,New Orleans Pelicans,106,Golden State Warriors,116,0,19596,regular_season,New Orleans Pelicans at Golden State Warriors
713,2016-11-07,10:30 pm,Detroit Pistons,82,Los Angeles Clippers,114,0,19060,regular_season,Detroit Pistons at Los Angeles Clippers
714,2016-11-07,8:00 pm,Miami Heat,85,Oklahoma City Thunder,97,0,18203,regular_season,Miami Heat at Oklahoma City Thunder
715,2016-11-07,7:00 pm,Utah Jazz,109,Philadelphia 76ers,84,0,14168,regular_season,Utah Jazz at Philadelphia 76ers
716,2016-11-07,7:00 pm,Houston Rockets,114,Washington Wizards,106,0,13173,regular_season,Houston Rockets at Washington Wizards
721,2016-11-08,10:00 pm,Phoenix Suns,121,Portland Trail Blazers,124,0,19239,regular_season,Phoenix Suns at Portland Trail Blazers
722,2016-11-08,10:30 pm,New Orleans Pelicans,94,Sacramento Kings,102,0,17608,regular_season,New Orleans Pelicans at Sacramento Kings
719,2016-11-08,10:30 pm,Dallas Mavericks,109,Los Angeles Lakers,97,0,18997,regular_season,Dallas Mavericks at Los Angeles Lakers
718,2016-11-08,7:00 pm,Atlanta Hawks,110,Cleveland Cavaliers,106,0,20562,regular_season,Atlanta Hawks at Cleveland Cavaliers
717,2016-11-08,7:30 pm,Minnesota Timberwolves,110,Brooklyn Nets,119,0,13610,regular_season,Minnesota Timberwolves at Brooklyn Nets
720,2016-11-08,8:00 pm,Denver Nuggets,107,Memphis Grizzlies,108,0,15109,regular_season,Denver Nuggets at Memphis Grizzlies
723,2016-11-09,7:30 pm,Chicago Bulls,107,Atlanta Hawks,115,0,16354,regular_season,Chicago Bulls at Atlanta Hawks
724,2016-11-09,7:00 pm,Utah Jazz,98,Charlotte Hornets,104,0,15712,regular_season,Utah Jazz at Charlotte Hornets
725,2016-11-09,10:30 pm,Dallas Mavericks,95,Golden State Warriors,116,0,19596,regular_season,Dallas Mavericks at Golden State Warriors
726,2016-11-09,7:00 pm,Philadelphia 76ers,115,Indiana Pacers,122,1,15360,regular_season,Philadelphia 76ers at Indiana Pacers
727,2016-11-09,10:30 pm,Portland Trail Blazers,80,Los Angeles Clippers,111,0,19060,regular_season,Portland Trail Blazers at Los Angeles Clippers
728,2016-11-09,7:00 pm,Brooklyn Nets,96,New York Knicks,110,0,19812,regular_season,Brooklyn Nets at New York Knicks
729,2016-11-09,8:00 pm,Toronto Raptors,112,Oklahoma City Thunder,102,0,18203,regular_season,Toronto Raptors at Oklahoma City Thunder
730,2016-11-09,7:00 pm,Minnesota Timberwolves,123,Orlando Magic,107,0,17102,regular_season,Minnesota Timberwolves at Orlando Magic
731,2016-11-09,9:00 pm,Detroit Pistons,100,Phoenix Suns,107,0,16719,regular_season,Detroit Pistons at Phoenix Suns
732,2016-11-09,9:30 pm,Houston Rockets,101,San Antonio Spurs,99,0,18418,regular_season,Houston Rockets at San Antonio Spurs
733,2016-11-09,7:00 pm,Boston Celtics,93,Washington Wizards,118,0,12675,regular_season,Boston Celtics at Washington Wizards
737,2016-11-10,10:30 pm,Los Angeles Lakers,101,Sacramento Kings,91,0,17608,regular_season,Los Angeles Lakers at Sacramento Kings
736,2016-11-10,8:00 pm,New Orleans Pelicans,112,Milwaukee Bucks,106,0,12159,regular_season,New Orleans Pelicans at Milwaukee Bucks
734,2016-11-10,9:00 pm,Golden State Warriors,125,Denver Nuggets,101,0,17569,regular_season,Golden State Warriors at Denver Nuggets
735,2016-11-10,8:00 pm,Chicago Bulls,98,Miami Heat,95,0,19600,regular_season,Chicago Bulls at Miami Heat
738,2016-11-11,7:30 pm,New York Knicks,87,Boston Celtics,115,0,18624,regular_season,New York Knicks at Boston Celtics
739,2016-11-11,7:00 pm,Toronto Raptors,113,Charlotte Hornets,111,0,18107,regular_season,Toronto Raptors at Charlotte Hornets
740,2016-11-11,8:00 pm,Los Angeles Clippers,110,Oklahoma City Thunder,108,0,18203,regular_season,Los Angeles Clippers at Oklahoma City Thunder
741,2016-11-11,7:00 pm,Utah Jazz,87,Orlando Magic,74,0,18846,regular_season,Utah Jazz at Orlando Magic
742,2016-11-11,7:00 pm,Indiana Pacers,105,Philadelphia 76ers,109,1,17643,regular_season,Indiana Pacers at Philadelphia 76ers
743,2016-11-11,10:00 pm,Sacramento Kings,120,Portland Trail Blazers,122,1,19918,regular_season,Sacramento Kings at Portland Trail Blazers
744,2016-11-11,8:30 pm,Detroit Pistons,86,San Antonio Spurs,96,0,18418,regular_season,Detroit Pistons at San Antonio Spurs
745,2016-11-11,7:00 pm,Cleveland Cavaliers,105,Washington Wizards,94,0,20356,regular_season,Cleveland Cavaliers at Washington Wizards
756,2016-11-12,7:30 pm,New York Knicks,107,Toronto Raptors,118,0,19800,regular_season,New York Knicks at Toronto Raptors
755,2016-11-12,9:00 pm,Brooklyn Nets,122,Phoenix Suns,104,0,17126,regular_season,Brooklyn Nets at Phoenix Suns
754,2016-11-12,7:00 pm,Los Angeles Lakers,126,New Orleans Pelicans,99,0,17138,regular_season,Los Angeles Lakers at New Orleans Pelicans
753,2016-11-12,8:00 pm,Los Angeles Clippers,119,Minnesota Timberwolves,105,0,14494,regular_season,Los Angeles Clippers at Minnesota Timberwolves
750,2016-11-12,7:00 pm,Boston Celtics,105,Indiana Pacers,99,0,17923,regular_season,Boston Celtics at Indiana Pacers
751,2016-11-12,8:00 pm,Utah Jazz,102,Miami Heat,91,0,19600,regular_season,Utah Jazz at Miami Heat
749,2016-11-12,8:00 pm,San Antonio Spurs,106,Houston Rockets,100,0,18055,regular_season,San Antonio Spurs at Houston Rockets
748,2016-11-12,9:00 pm,Detroit Pistons,106,Denver Nuggets,95,0,13997,regular_season,Detroit Pistons at Denver Nuggets
747,2016-11-12,8:00 pm,Washington Wizards,95,Chicago Bulls,106,0,21962,regular_season,Washington Wizards at Chicago Bulls
746,2016-11-12,7:30 pm,Philadelphia 76ers,96,Atlanta Hawks,117,0,17399,regular_season,Philadelphia 76ers at Atlanta Hawks
752,2016-11-12,8:30 pm,Memphis Grizzlies,96,Milwaukee Bucks,106,0,14327,regular_season,Memphis Grizzlies at Milwaukee Bucks
757,2016-11-13,3:30 pm,Charlotte Hornets,93,Cleveland Cavaliers,100,0,20562,regular_season,Charlotte Hornets at Cleveland Cavaliers
758,2016-11-13,8:00 pm,Phoenix Suns,120,Golden State Warriors,133,0,19596,regular_season,Phoenix Suns at Golden State Warriors
759,2016-11-13,7:00 pm,Los Angeles Lakers,99,Minnesota Timberwolves,125,0,14432,regular_season,Los Angeles Lakers at Minnesota Timberwolves
760,2016-11-13,7:00 pm,Orlando Magic,119,Oklahoma City Thunder,117,0,18203,regular_season,Orlando Magic at Oklahoma City Thunder
761,2016-11-13,9:00 pm,Denver Nuggets,105,Portland Trail Blazers,112,0,19362,regular_season,Denver Nuggets at Portland Trail Blazers
769,2016-11-14,9:00 pm,Memphis Grizzlies,102,Utah Jazz,96,0,18176,regular_season,Memphis Grizzlies at Utah Jazz
768,2016-11-14,8:30 pm,Miami Heat,90,San Antonio Spurs,94,0,18418,regular_season,Miami Heat at San Antonio Spurs
767,2016-11-14,7:30 pm,Dallas Mavericks,77,New York Knicks,93,0,19812,regular_season,Dallas Mavericks at New York Knicks
766,2016-11-14,8:00 pm,Boston Celtics,105,New Orleans Pelicans,106,0,15001,regular_season,Boston Celtics at New Orleans Pelicans
764,2016-11-14,7:00 pm,Orlando Magic,69,Indiana Pacers,88,0,14825,regular_season,Orlando Magic at Indiana Pacers
763,2016-11-14,8:00 pm,Philadelphia 76ers,88,Houston Rockets,115,0,13183,regular_season,Philadelphia 76ers at Houston Rockets
762,2016-11-14,7:30 pm,Oklahoma City Thunder,88,Detroit Pistons,104,0,14172,regular_season,Oklahoma City Thunder at Detroit Pistons
765,2016-11-14,10:30 pm,Brooklyn Nets,95,Los Angeles Clippers,127,0,19060,regular_season,Brooklyn Nets at Los Angeles Clippers
770,2016-11-15,7:00 pm,Toronto Raptors,117,Cleveland Cavaliers,121,0,20562,regular_season,Toronto Raptors at Cleveland Cavaliers
771,2016-11-15,10:30 pm,Brooklyn Nets,118,Los Angeles Lakers,125,0,18426,regular_season,Brooklyn Nets at Los Angeles Lakers
